Id	idConcept	N1	N2	N3	N4	N5	N6	N7	UF1	UF2	UF3	UF4	UF5	UF6	UF7	UF8	RT1	RT2	RT3	RT4	RT5	RT6	RT7	RT8	RT9	RT10	RT11	RT12	RT13	RT14	RT15	RT16	RT17	RT18	RT19	RT20	RT21	RT22	RT23	RT24	RT25	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	
29	1329				Hipparque com																																					Hiparco com(es)	Hipparchos (Komödiendichter)(de)	Hipparchus(nl)	Hipparchus com(en)	Hipparque com(it)	هيبارخوس كوميدي(ar)	3e s. av.J.C.	
30	1661				Machon																																					Machon(de)	Machon(en)	Machon(es)	Machon(it)	Machon(nl)	ماكون(ar)	3e s. av.J.C.	
31	1880				Ménandre												La Samienne Mén	Le Dyscolos Mén	Les Achéens Mén																							Menander(de)	Menander(en)	Menander(nl)	Menandro(es)	Menandro(it)	ميناندر(ar)	(342-292)	
32	1884				Ménippe com																																					Menipo com(es)	Ménippe com(it)	Menippos (Komödiendichter)(de)	Menippus com(en)	Menippus kom(nl)	مينيب كوميدي(ar)		
33	1829				Mnésimachos																																					Mnesimachos(de)	Mnésimachos(it)	Mnesimachus(en)	Mnesimachus(nl)	Mnesimaco(es)	منيسيماخوس(ar)	4e s. av.J.C.	
34	1939				Nicophon																																					Nicofón(es)	Nicophon(en)	Nicophon(it)	Nicophon(nl)	Nikophon(de)	نيكوفون(ar)	5e -4e s. av.J.C.	
35	2163				Philémon																																					Filemón(es)	Philemon(de)	Philemon(en)	Philemon(nl)	Philémon(it)	فيليمون(ar)	(360-263)	
36	2577				Sophilos																																					Sofilos(es)	Sophilos(de)	Sophilos(it)	Sophilus(en)	Sophilus(nl)	سوفيلوس(ar)	4e s. av.J.C.	
37	2580				Sotadès com																																					Sotades com(en)	Sótades com(es)	Sotadès com(it)	Sotades kom(nl)	Sotades (Komödiendichter)(de)	سوتايدس كوميدي(ar)	4e s. av.J.C.	
38	2721				Théopompe com																																					Teopompo com(es)	Théopompe com(it)	Theopompos (Komödiendichter)(de)	Theopompus com(en)	Theopompus kom(nl)	تيوبومبوس كوميدي(ar)	5e - 4e s. av.J.C.	
39	494			Auteurs de farces																																						Auteurs de farces(it)	auteurs van kluchten(nl)	Autores de farsas(es)	Farce authors(en)	Farcendichter(de)	مؤلفوا نكَات(ar)		
40	495			Auteurs de parodie																																						Auteurs de parodie(it)	auteurs van parodieën(nl)	Autores de parodia(es)	Parodiendichter(de)	Parody authors(en)	مؤلفوا المحاكاة الساخرة(ar)		
41	2033				Paléphate																																					Palaephatus(en)	Palaephatus(nl)	Palaiphatos(de)	Paléfato(es)	Paléphate(it)	باليفاتوس(ar)	4e s. av.J.C.	
42	497			Auteurs dramatiques					Auteurs tragiques																																	Auteurs dramatiques(it)	auteurs van tragedies(nl)	Autores dramáticos(es)	Dramatic authors(en)	Tragödiendichter(de)	مؤلفون دراميون(ar)		
43	349				Aristarque trag																																					Aristarchos (Trag)(de)	Aristarchus(nl)	Aristarchus trag(en)	Aristarco trag(es)	Aristarque trag(it)	أريستارخوس تراجيدي(ar)	(5e s. av.J.C.)	
44	765				Cléophon																																					Cleofón(es)	Cleophon(en)	Cleophon(nl)	Cléophon(it)	Kleophon(de)	كليوفون(ar)	4e s. av.J.C.	
45	1114				Eschyle				Aeschylus								Danaïdes A	Les Perses A	Les Suppliantes A	Orestie A	Prométhée enchaîné A	Sept contre Thèbes A	Sphinx A																			Aeschylus(en)	Aeschylus(nl)	Aischylos(de)	Eschilo(it)	Esquilo(es)	ايسخيلوس(ar)	(Eleusis v.525 - Gela 456)	
46	1138				Euripide												Alceste E	Andromaque E	Electre E	Hippolyte E	Hécube E	Hélène E	Héraclès E	Héraclès furieux E	Ion E	Iphigénie en Aulide E	Iphigénie en Tauride E	Le Cyclope E	Les Bacchantes E	Les Phéniciennes E	Les Suppliantes E	Les Troyennes E	Médée E	Oreste E								Euripide(it)	Euripides(de)	Euripides(en)	Euripides(nl)	Eurípides(es)	يوربيدس(ar)	(480-406)	
47	1338				Hippothoon																																					Hipotoon(es)	Hippothoon(de)	Hippothoon(en)	Hippothoon(it)	Hippothoon(nl)	هيبوتون(ar)		
48	1453				Iophon																																					Iofón(es)	Iophon(de)	Iophon(en)	Iophon(it)	Iophon(nl)	يوفون(ar)	5e s. av.J.C.	
49	1627				Lycophron trag				Lycophron de Chalcis																																	Licofrón trag(es)	Lycophron trag(en)	Lycophron trag(it)	Lycophron trag(nl)	Lykophron (Trag)(de)	ليكوفرون تراجيدي(ar)	(fin du IVe s. - début du IIe s. av.J.C.)	
50	1801				Mimnerme trag																																					Mimnerme trag(it)	Mimnermos trag(en)	Mimnermos trag(nl)	Mimnermos (Trag)(de)	Mimnermo trag(es)	ميمنيرموس تراجيدي(ar)		
51	2171				Phrynicos trag																																					Frínico trag(es)	Phrynichos (Trag)(de)	Phrynichus trag(en)	Phrynichus trag(nl)	Phrynicos trag(it)	فرينيخوس تراجيدي(ar)	Athénien (fin du VIe - début du Ve s. av.J.V.)	
52	2317				Python																																					Pitón(es)	Python(de)	Python(en)	Python(it)	Python(nl)	بيتون(ar)	4e s. av.J.C.	
53	2579				Sophocle												Ajax S	Antigone S	Electre S	Les Trachiniennes S	Oedipe roi S	Oedipe à Colone S	Philoctète S																			Sofocle(it)	Sófocles(es)	Sophocles(en)	Sophocles(nl)	Sophokles(de)	سوفوكليس(ar)	(496 - 406)	
54	2714				Théognis trag																																					Teognis trag(es)	Theognis trag(en)	Theognis trag(nl)	Theognis (Trag)(de)	Théognis trag(it)	تيوغنيس تراجيدي(ar)	5e s. av.J.C.	
55	1802			Mimographes																																						mimografen(nl)	Mimógrafos(es)	Mimographen(de)	Mimographes(it)	Mimographs(en)	مؤلفوا إيمائيات(ar)		
56	1420				Hérondas																																					Herondas(de)	Herondas(en)	Herondas(es)	Herondas(nl)	Hérondas(it)	إيرونداس(ar)	(IIIe s; av.J.C.)	
57	579		Biographes																																							biografen(nl)	Biografi(it)	Biógrafos(es)	Biographen(de)	Biographers(en)	كُتَّاب سِيَر حياتية(ar)		
58	921			Diogène Laërce					Diogène de Laerte																																	Diogène Laërce(it)	Diógenes Laërce(es)	Diogenes Laertios(de)	Diogenes Laërtius(en)	Diogenes Laërtius(nl)	ديوجين ليرتيوس(ar)	(Première moitié du IIIe s. ap.J.C.)	
59	2195			Plutarque													Banquet des sept sages Plu	De facie Plu	De la musique Plu	Le démon de Socrate Plu	Oeuvres morales Plu	Vies Plu	Vies parallèles Plu																			Plutarch(de)	Plutarch(en)	Plutarchus(nl)	Plutarco(es)	Plutarque(it)	بلوتارك(ar)	(50-125) Biographe et moraliste	
60	1040		Ecrivains arabes						Écrivains arabes																																	Arabische Schriftsteller(de)	Arabische schrijvers(nl)	Arab writers(en)	Escritores árabes(es)	Scrittori arabile(it)	كُتَّاب عَرَب(ar)		
61	24062			Averroès					Abu al-Walid ibn Ruchd																																	Averroes(en)	Averroes(es)	Averroès(it)	Averroës(de)	Averroës(nl)	ابن رشد(ar)	1126 Cordoue - 1198 Marrakech, philosophe, médecin et juriste arabe	
62	2505			Sayyid Murtadha al-Zabidi																																						Sayyid Murtadha al-Zabidi(en)	Sayyid Murtadha al-Zabidi(es)	Sayyid Murtadha al-Zabidi(it)	Sayyid Murtadha al-Zabidi(nl)	Sayyid Murthada al-Zabidi(de)	سيد مرتضى الزبيدي(ar)	mort en 1791	
63	29516		Ecrivains byzantins																																							كُتَّاب بيزنطيون(ar)							
64	227			Anne Comnène													Alexiade																									Anna Comnena(it)	Anna Komnena(de)	Anna Komnene(en)	Anna Komnene(nl)	Anne Comnène(es)	آنا كومنينا(ar)	Princesse byzantine (1083-1148), auteur de l'Alésiade	
65	1041		Ecrivains chrétiens						Auteurs chrétiens	Écrivains chrétiens	Écrivains ecclésiastiques	Théologiens					anthropologie religieuse																									chirstelijke schrijvers(nl)	Christian writers(en)	Christliche Schriftsteller(de)	Escritores cristianos(es)	Scrittori cristiani(it)	كُتَّاب مسيحيون(ar)		
66	184			Amédée de Lausanne																																						Amadeo de Lausanne(es)	Amadeus of Lausanne(en)	Amadeus van Lausanne(nl)	Amadeus von Lausanne(de)	Amédée de Lausanne(it)	أميديوس من لوزان(ar)		
67	220			André de Césarée																																						Andreas de Cesarea(es)	Andreas of Caesarea(en)	Andreas van Caesarea(nl)	Andreas von Caesarea(de)	André de Césarée(it)	أندرياس من قيصرية (ar)	Auteur d'un commentaire de l'Apocalypse	
68	36114			Aristide d'Athènes					Aristide (saint)	Saint Aristide																																Aristide Marciano(it)	Aristides of Athens(en)	Aristides van Athene(nl)	Aristides von Athen(de)	أريستيد الأثيني(ar)		apologiste chrétien du IIe siècle.	
69	373			Arius																																						Arius(de)	Arius(en)	Arius(es)	Arius(it)	Arius(nl)	آريوس(ar)	Prêtre d'Alexandrie (256-336) responsable de l'Arianisme	
